nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Londyn,2023,pierwsza po³owa roku,2328996,0.1223
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Londyn,2022,pierwsza po³owa roku,1587462,0.1158
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Oslo,2023,pierwsza po³owa roku,753633,0.0396
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Oslo,2022,pierwsza po³owa roku,572369,0.0417
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Frankfurt,2023,pierwsza po³owa roku,623710,0.0328
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Frankfurt,2022,pierwsza po³owa roku,450650,0.0329
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Pary¿,2023,pierwsza po³owa roku,602950,0.0317
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Pary¿,2022,pierwsza po³owa roku,502079,0.0366
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Mediolan,2023,pierwsza po³owa roku,494456,0.0260
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Mediolan,2022,pierwsza po³owa roku,345176,0.0252
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Sztokholm,2023,pierwsza po³owa roku,485452,0.0255
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Sztokholm,2022,pierwsza po³owa roku,341517,0.0249
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Amsterdam,2023,pierwsza po³owa roku,471227,0.0248
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Amsterdam,2022,pierwsza po³owa roku,379275,0.0277
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Monachium,2023,pierwsza po³owa roku,423118,0.0222
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Monachium,2022,pierwsza po³owa roku,322886,0.0235
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Dublin,2023,pierwsza po³owa roku,416086,0.0219
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Dublin,2022,pierwsza po³owa roku,355131,0.0259
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Barcelona,2023,pierwsza po³owa roku,380297,0.0200
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Barcelona,2022,pierwsza po³owa roku,284952,0.0208
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Rzym,2023,pierwsza po³owa roku,373906,0.0196
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Rzym,2022,pierwsza po³owa roku,263114,0.0192
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Eindhoven,2023,pierwsza po³owa roku,368327,0.0193
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Eindhoven,2022,pierwsza po³owa roku,316205,0.0231
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Kopenhaga,2023,pierwsza po³owa roku,332472,0.0175
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Kopenhaga,2022,pierwsza po³owa roku,219326,0.0160
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Wiedeñ,2023,pierwsza po³owa roku,309083,0.0162
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Wiedeñ,2022,pierwsza po³owa roku,183201,0.0134
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Dortmund,2023,pierwsza po³owa roku,302302,0.0159
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Dortmund,2022,pierwsza po³owa roku,224697,0.0164
