nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Londyn,2023,pierwsza polowa roku,2328996,0.1223
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Londyn,2022,pierwsza polowa roku,1587462,0.1158
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Oslo,2023,pierwsza polowa roku,753633,0.0396
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Oslo,2022,pierwsza polowa roku,572369,0.0417
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Frankfurt,2023,pierwsza polowa roku,623710,0.0328
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Frankfurt,2022,pierwsza polowa roku,450650,0.0329
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Paryz,2023,pierwsza polowa roku,602950,0.0317
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Paryz,2022,pierwsza polowa roku,502079,0.0366
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Mediolan,2023,pierwsza polowa roku,494456,0.0260
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Mediolan,2022,pierwsza polowa roku,345176,0.0252
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Sztokholm,2023,pierwsza polowa roku,485452,0.0255
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Sztokholm,2022,pierwsza polowa roku,341517,0.0249
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Amsterdam,2023,pierwsza polowa roku,471227,0.0248
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Amsterdam,2022,pierwsza polowa roku,379275,0.0277
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Monachium,2023,pierwsza polowa roku,423118,0.0222
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Monachium,2022,pierwsza polowa roku,322886,0.0235
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Dublin,2023,pierwsza polowa roku,416086,0.0219
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Dublin,2022,pierwsza polowa roku,355131,0.0259
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Barcelona,2023,pierwsza polowa roku,380297,0.0200
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Barcelona,2022,pierwsza polowa roku,284952,0.0208
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Rzym,2023,pierwsza polowa roku,373906,0.0196
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Rzym,2022,pierwsza polowa roku,263114,0.0192
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Eindhoven,2023,pierwsza polowa roku,368327,0.0193
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Eindhoven,2022,pierwsza polowa roku,316205,0.0231
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Kopenhaga,2023,pierwsza polowa roku,332472,0.0175
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Kopenhaga,2022,pierwsza polowa roku,219326,0.0160
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Wieden,2023,pierwsza polowa roku,309083,0.0162
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Wieden,2022,pierwsza polowa roku,183201,0.0134
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Dortmund,2023,pierwsza polowa roku,302302,0.0159
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Dortmund,2022,pierwsza polowa roku,224697,0.0164
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Bruksela,2023,pierwsza polowa roku,301857,0.0159
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Bruksela,2022,pierwsza polowa roku,217460,0.0159
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Tel Aviv,2023,pierwsza polowa roku,299048,0.0157
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Tel Aviv,2022,pierwsza polowa roku,171558,0.0125
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Leeds Bradford,2023,pierwsza polowa roku,243330,0.0128
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Leeds Bradford,2022,pierwsza polowa roku,94315,0.0069
